ipsrc,ipdst,ds,y
10.252.0.2,224.0.0.102,2025-02-05 09:18:52,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:18:57,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:19:02,21.333333333333332
10.252.0.2,224.0.0.102,2025-02-05 09:19:07,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:19:12,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:19:17,21.333333333333332
10.252.0.2,224.0.0.102,2025-02-05 09:19:22,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:19:27,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:19:32,21.333333333333332
10.252.0.2,224.0.0.102,2025-02-05 09:19:37,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:19:42,42.666666666666664
10.252.0.2,224.0.0.102,2025-02-05 09:19:47,21.333333333333332
10.252.0.2,224.0.0.102,2025-02-05 09:19:52,21.333333333333332
