ipsrc,ipdst,protocol,throughput,total_packets
192.168.130.145,192.168.130.48,TCP,6270,95
192.168.130.145,192.168.130.6,TCP,10880,160
192.168.130.133,192.168.130.145,HTTP,9541,40
192.168.130.145,192.168.130.96,HTTP,9106,40
192.168.130.132,192.168.130.145,TCP,10880,160
172.30.252.3,192.168.130.132,TCP,206,3
192.168.130.145,192.168.130.96,TCP,10880,160
192.168.130.145,192.168.130.18,TLSv1.2,3415972,8806
192.168.130.145,192.168.130.6,HTTP,9418,40
192.168.130.145,192.168.130.48,HTTP,128261,190
172.30.252.3,192.168.130.132,SSH,91,1
,,ARP,7494,177
192.168.130.145,192.168.130.18,TCP,994166,5374
172.30.252.3,192.168.130.96,SSHv2,1462,3
172.30.252.3,192.168.130.133,SSHv2,1462,3
192.168.130.133,192.168.130.145,TCP,10880,160
172.30.252.3,192.168.130.6,SSHv2,1462,3
192.168.130.132,192.168.130.145,HTTP,8925,40
172.30.252.3,192.168.130.96,TCP,338,5
172.30.252.3,192.168.130.133,TCP,338,5
172.30.252.3,192.168.130.132,SSHv2,1462,3
192.168.130.145,192.168.255.25,DNS,1868,16
192.168.130.145,192.168.130.68,TCP,10880,160
192.168.130.145,192.168.130.68,HTTP,9613,40
172.30.252.3,192.168.130.6,TCP,206,3
172.30.252.3,192.168.130.145,TCP,1122,17
192.168.130.145,192.168.130.9,TCP,12592228,2310
,,LLDP,4851,21
172.30.252.3,192.168.130.96,SSH,91,1
172.30.252.3,192.168.130.133,SSH,91,1
192.168.130.145,192.168.130.9,NFS,94579014,3131
192.168.130.145,192.168.130.18,UDP,196750,1522
172.30.252.3,192.168.130.6,SSH,91,1
172.30.252.3,192.168.130.145,SSH,15374,149
,,ICMPv6,1150,13
